,Country,CurrencyName,CurrencyCode,1.00 INR,inv 1 INR
0,Argentina,Argentine Peso,ARS,0.8326479999999999,1.200988
1,Australia,Australian Dollar,AUD,0.020531999999999998,48.703934000000004
2,Bahrain,Bahraini Dinar,BHD,0.00524,190.842137
3,Botswana,Botswana Pula,BWP,0.151472,6.601895
4,Brazil,Brazilian Real,BRL,0.058435,17.112907
5,Brunei Darussalam,Bruneian Dollar,BND,0.018987999999999998,52.664590000000004
6,Bulgaria,Bulgarian Lev,BGN,0.024638,40.587594
7,Canada,Canadian Dollar,CAD,0.018512,54.019087
8,Chile,Chilean Peso,CLP,11.157244,0.089628
9,China,Chinese Yuan Renminbi,CNY,0.097981,10.206077
10,Colombia,Colombian Peso,COP,47.644348,0.020988999999999997
11,Croatia,Croatian Kuna,HRK,0.093691,10.673344
12,Czech Republic,Czech Koruna,CZK,0.32157600000000003,3.1096880000000002
13,Denmark,Danish Krone,DKK,0.09413400000000001,10.623119
14,Ã…land Islands,Euro,EUR,0.012597,79.382435
15,Hong Kong,Hong Kong Dollar,HKD,0.10903299999999999,9.171541
16,Hungary,Hungarian Forint,HUF,4.214878,0.23725500000000002
17,Iceland,Icelandic Krona,ISK,1.717027,0.5824020000000001
18,Indonesia,Indonesian Rupiah,IDR,196.487397,0.005089
19,"Iran, Islamic Republic Of",Iranian Rial,IRR,589.12368,0.001697
20,Israel,Israeli Shekel,ILS,0.048244,20.727991
21,Japan,Japanese Yen,JPY,1.513855,0.660565
22,Kazakhstan,Kazakhstani Tenge,KZT,5.389505000000001,0.18554600000000002
23,South Africa,South Korean Won,ZAR,16.410737,0.060936000000000004
24,Kuwait,Kuwaiti Dinar,KWD,0.004233,236.263138
25,Libya,Libyan Dinar,LYD,0.019573,51.091291999999996
26,Malaysia,Malaysian Ringgit,MYR,0.058079,17.218015
27,Mauritania,Mauritian Rupee,MRO,0.508996,1.964652
28,Mexico,Mexican Peso,MXN,0.270312,3.6994269999999996
29,Nepal,Nepalese Rupee,NPR,1.6075,0.622084
30,Cook Islands,New Zealand Dollar,NZD,0.021769,45.93699
31,Bouvet Island,Norwegian Krone,NOK,0.127418,7.848172
32,Oman,Omani Rial,OMR,0.005358,186.62326000000002
33,Pakistan,Pakistani Rupee,PKR,2.16408,0.46208999999999995
34,Philippines,Philippine Peso,PHP,0.707555,1.413317
35,Poland,Polish Zloty,PLN,0.054154999999999995,18.465656
36,Qatar,Qatari Riyal,QAR,0.050727,19.713364000000002
37,Romania,Romanian New Leu,RON,0.060203,16.610523999999998
38,Russian Federation,Russian Ruble,RUB,0.88782,1.126355
39,Saudi Arabia,Saudi Arabian Riyal,SAR,0.05226,19.135105
40,Singapore,Singapore Dollar,SGD,0.018987999999999998,52.664590000000004
41,South Africa,South African Rand,ZAR,0.20460899999999999,4.887379
42,Sri Lanka,Sri Lankan Rupee,LKR,2.5088220000000003,0.398594
43,Sweden,Swedish Krona,SEK,0.13406300000000002,7.459169
44,Liechtenstein,Swiss Franc,CHF,0.013846,72.22418499999999
45,"Taiwan, Province of China",Taiwan New Dollar,TWD,0.42524799999999996,2.351572
46,Thailand,Thai Baht,THB,0.4211,2.374734
47,Trinidad and Tobago,Trinidadian Dollar,TTD,0.094295,10.604985000000001
48,Turkey,Turkish Lira,TRY,0.079427,12.590192
49,NA,Emirati Dirham,NA,0.05118,19.538909
50,British Indian Ocean Territory,British Pound,USD,0.010792,92.65870600000001
51,American Samoa,US Dollar,USD,0.013936000000000002,71.756644
52,"Venezuela, Bolivarian Republic of",Venezuelan Bolivar,VEF,0.13918599999999998,7.184645
